a,b,c,count
91,249,91,39
249,249,249,4
91,63,91,4
91,61,91,2
251,251,251,4
195,91,195,13
195,249,195,1
249,91,249,1
91,195,91,13
91,210,91,7
91,91,91,331
91,251,91,31
251,195,249,3
249,249,251,4
210,91,91,3
210,251,91,3
210,249,91,4
91,91,210,18
210,91,195,4
195,91,91,26
91,63,195,2
195,249,91,3
195,251,91,16
91,249,195,17
195,195,91,19
91,195,195,17
91,91,195,23
91,251,251,10
91,210,251,3
251,195,91,4
251,249,91,6
251,251,91,6
91,91,251,29
91,63,251,13
91,195,251,13
91,249,251,4
251,91,91,54
91,249,249,4
91,63,249,2
91,251,249,3
249,195,91,17
249,251,91,8
91,91,249,59
91,210,249,8
249,91,91,49
210,249,249,4
195,195,251,3
251,251,195,4
195,91,251,10
249,195,195,5
249,91,195,3
249,249,195,4
195,91,249,4
249,91,61,1
63,91,251,4
251,91,63,17
63,195,249,1
63,251,249,3
63,195,91,1
63,249,91,2
91,91,63,4
63,251,91,7
61,91,91,2
91,91,61,1
63,251,195,3
